accession,cluster,split
B2RXH4,B2RXH4,train
B2RXH8,P07910,train
B3EWF7,B3EWF7,train
B3EWG6,B3EWG6,test
B3GLJ2,P26436,train
B3KS81,B3KS81,train
B3KU38,B3KU38,test
B3SHH9,B3SHH9,train
B4DH59,P0DPF2,train
B4DJY2,Q7Z6L0,train
B4DS77,A6NL88,train
B4DU55,O43345,val
B4DX44,O43345,val
B4DXR9,O43345,val
B4DYI2,Q6ZUB1,test
B4DZS4,Q8N4U5,train
B4E2M5,Q9ULJ7,val
B5MCN3,Q92503,train
B5MCY1,B5MCY1,train
B5MD39,P36269,train
B5ME19,B5ME19,train
B6A8C7,Q8N6C5,train
B6SEH8,B6SEH9,test
B6SEH9,B6SEH9,test
B7U540,P48549,train
B7Z1M9,Q8TF44,train
B7Z368,B7Z368,train
B7Z6K7,P57071,train
B7Z8K6,B7Z8K6,train
B7ZAP0,Q9Y3P9,train
B7ZAQ6,B7ZAQ6,val
B7ZBB8,B7ZBB8,train
B7ZC32,Q9NQT8,train
B7ZW38,P07910,train
B8ZZ34,A6NL88,train
B9A014,B9A014,train
B9A064,B9A064,train
B9A6J9,Q92738,train
B9EJG8,B9EJG8,train
C4AMC7,A8MWX3,train
C9J069,C9J069,test
C9J1S8,O15553,test
C9J202,Q9BT22,train
C9J2P7,Q9H9J4,test
C9J302,C9J302,test
C9J3I9,C9J3I9,train
C9J3V5,C9J3V5,train
C9J6K1,C9J6K1,train
C9J798,O95294,train
C9J7I0,C9J7I0,train
C9JBD0,O60290,train
C9JC47,P0CG43,val
C9JCN9,O75506,train
C9JE40,Q86TB9,train
C9JG80,E5RHQ5,train
C9JH25,Q5FWE3,val
C9JI98,C9JI98,train
C9JJ37,C9JJ37,val
C9JJH3,Q9H9J4,test
C9JL84,C9JL84,test
C9JLJ4,Q9H9J4,test
C9JLR9,C9JLR9,test
C9JLW8,Q9BUT9,train
C9JN71,O43345,val
C9JPN9,Q9H9J4,test
C9JQI7,C9JQI7,val
C9JQL5,A6NMD0,train
C9JR72,C9JR72,train
C9JRZ8,P51857,test
C9JSJ3,C9JSJ3,train
C9JTQ0,C9JTQ0,train
C9JVI0,Q9H9J4,test
C9JVW0,C9JVW0,train
C9JXX5,C9JXX5,val
D3W0D1,Q6ZS10,test
D6R901,Q9H9J4,test
D6R9N7,Q9H9J4,test
D6RA61,Q9H9J4,test
D6RBM5,Q9H9J4,test
D6RBQ6,Q9H9J4,test
D6RCP7,Q9H9J4,test
D6REC4,D6REC4,val
D6RF30,Q08379,train
D6RGH6,D6RGH6,test
D6RGX4,A6NDY2,train
D6RIA3,D6RIA3,val
D6RJB6,Q9H9J4,test
E2RYF6,E2RYF6,train
E2RYF7,E2RYF7,train
E5RG02,P03952,val
E5RHQ5,E5RHQ5,train
E5RIL1,B0FP48,train
E5RJ46,E5RJ46,val
E5RJM6,Q9ULJ7,val
E5RQL4,E5RQL4,test
E7ERA6,M0QZC1,train
E7ETH6,P57071,train
E7EW31,E7EW31,train
E9PAV3,E9PAV3,train
E9PB15,E9PB15,train
E9PGG2,E9PGG2,val
E9PI22,E9PI22,train
E9PIF3,E5RHQ5,train
E9PJ23,E5RHQ5,train
E9PJI5,E5RHQ5,train
E9PKD4,E5RHQ5,train
E9PQ53,O95298,train
E9PQR5,E5RHQ5,train
E9PRG8,E9PRG8,train
F2Z398,F2Z398,train
F2Z3F1,F2Z3F1,train
F5GYI3,F5GYI3,train
F5H094,Q9H2Y9,train
F5H284,Q13356,train
F5H4A9,F5H4A9,train
F5H4B4,Q96M60,train
F8VTS6,O15553,test
F8W0I5,E5RHQ5,train
F8W1W9,E5RHQ5,train
F8WBI6,Q08379,train
F8WCM5,F8WCM5,test
F8WFD2,E5RHQ5,train
G2XKQ0,Q8NCF5,train
G3V0H7,Q9H2Y9,train
G5E9R7,A8MXZ3,val
G9CGD6,Q8WXI2,val
H0UI37,H0UI37,train
H0Y354,H0Y354,test
H0Y7S4,P78395,val
H0YKK7,Q08379,train
H0YL14,H0YL14,train
H0YM25,Q08379,train
H3BMG3,H3BMG3,train
H3BNL1,H3BNL1,val
H3BPF8,Q08379,train
H3BPM6,H3BPM6,test
H3BQB6,H3BQB6,train
H3BQL2,Q08379,train
H3BQW9,H3BQW9,test
H3BR10,H3BR10,train
H3BRN8,H3BRN8,train
H3BS89,Q8NBL3,val
H3BSY2,Q08379,train
H3BTG2,H3BTG2,train
H3BUK9,A5A3E0,train
H3BV12,Q08379,train
H3BV60,H3BV60,val
H7BZ55,H7BZ55,train
H7C241,H7C241,train
H7C350,H7C350,train
I0J062,I0J062,train
I1YAP6,A6NLI5,train
I3L0S3,I3L0S3,train
I3L1E1,I3L1E1,val
I3L273,I3L273,train
I3L3R5,I3L3R5,val
I6L899,Q08379,train
K7EIQ3,K7EIQ3,train
K7EJ46,K7EJ46,val
K9M1U5,Q8IU54,train
L0R6Q1,L0R6Q1,train
L0R819,L0R819,train
M0QZC1,M0QZC1,train
M0R2J8,M0R2J8,val
M5A8F1,M5A8F1,train
O00110,O43345,val
O00115,Q8WZ79,val
O00116,O00116,test
O00124,O00124,train
O00139,Q9P2P6,train
O00141,Q16513,train
O00142,Q16854,train
O00144,O60353,train
O00148,Q9UHI6,train
O00151,O75112,val
O00154,O00154,test
O00155,Q9UKP6,train
O00159,Q9HD67,train
O00160,Q9HD67,train
O00161,O00161,train
O00165,O00165,train
O00167,O95677,val
O00168,Q9H0Q3,train
O00170,Q9NZN9,train
O00178,O00178,train
O00180,P57789,test
O00182,Q3B8N2,train
O00186,P61764,train
O00187,P00736,train
O00189,O00189,val
O00192,Q9UQB3,test
O00193,O00193,test
O00194,Q9BSW2,train
O00203,O00203,train
O00204,O00204,train
O00206,O00206,val
O00212,Q9BYZ6,test
O00213,Q92870,train
O00214,Q3B8N2,train
O00217,O00217,train
O00219,Q92839,train
O00220,O00220,train
O00221,O00221,test
O00222,P41594,train
O00230,O00230,train
O00231,O00231,train
O00232,O00232,train
O00233,O00233,val
O00237,O00237,val
O00238,P36894,train
O00241,P78324,val
O00244,O00244,test
O00253,O00253,train
O00254,P25116,train
O00255,O00255,val
O00257,O00257,val
O00258,O00258,train
O00264,O15173,train
O00267,O00267,train
O00268,O00268,train
O00270,P49019,train
O00273,O00273,train
O00287,O00287,train
O00291,O75146,train
O00292,O00292,test
O00294,O00294,train
O00295,O00294,train
O00299,Q96NY7,test
O00300,O00300,val
O00303,O00303,train
O00305,Q08289,train
O00308,Q76N89,train
O00311,O00311,val
O00321,O00321,train
O00327,P27540,test
O00329,O00443,train
O00330,P10515,train
O00337,Q9HAS3,train
O00338,O00204,train
O00339,O00339,train
O00341,P43004,train
O00358,Q12948,train
O00370,O00370,train
O00391,O00391,train
O00398,P25116,train
O00399,O00399,train
O00400,O00400,train
O00401,O00401,train
O00408,Q9Y233,train
O00409,O00409,train
O00410,O60518,train
O00411,O00411,val
O00418,O00418,train
O00421,O00421,train
O00422,O00422,train
O00423,Q05BV3,train
O00425,Q9Y6M1,train
O00429,P50570,train
O00442,O00442,val
O00443,O00443,train
O00444,O00444,train
O00445,Q9BQG1,train
O00451,P56159,train
O00453,O00453,val
O00458,O00458,train
O00459,O00459,train
O00461,O00461,train
O00462,O00462,train
O00463,Q13114,train
O00468,O00468,train
O00469,O60568,train
O00470,O14770,test
O00471,O00471,val
O00472,O00472,test
O00476,Q8NDX2,test
O00478,Q96KV6,train
O00479,O00479,test
O00481,Q96KV6,train
O00482,O00482,train
O00483,Q9NRX3,train
O00487,Q92905,train
O00488,O00488,test
O00499,P49418,train
O00501,P56746,val
O00505,O15131,train
O00506,B2RTY4,train
O00507,O00507,train
O00512,Q86UU0,train
O00515,O00515,train
O00519,O00519,train
O00522,O00522,train
O00526,O00526,test
O00533,O94856,val
O00534,O00534,train
O00541,O00541,train
O00548,Q8TER0,val
O00555,O00555,train
O00559,O00559,train
O00560,O00560,train
O00562,Q9BZ72,train
O00566,O00566,val
O00567,O00567,train
O00570,P48436,train
O00571,Q7L014,train
O00574,P49685,train
O00584,O00584,train
O00585,P78423,train
O00587,Q8NES3,train
O00590,Q9NSD7,train
O00591,Q9UN88,val
O00592,O00592,train
O00602,Q9Y264,val
O00622,O00622,test
O00623,O00623,train
O00624,Q8NDX2,test
O00625,O00625,train
O00626,O00626,train
O00628,Q99973,train
O00629,O15131,train
O00631,O00631,val
O00634,P24043,train
O00635,O15553,test
O00712,Q12857,train
O00716,O00716,val
O00743,P16298,train
O00744,Q9GZT5,train
O00746,O00746,train
O00748,P01266,train
O00750,O00443,train
O00754,O00754,train
O00755,Q9GZT5,train
O00757,O00757,train
O00762,Q9Y385,train
O00763,O00763,train
O00764,O00764,val
O00767,O00767,train
O14490,Q9P1A6,val
O14492,Q9NRF2,train
O14493,P56856,train
O14494,Q7Z2D5,train
O14495,Q7Z2D5,train
O14497,Q8NFD5,val
O14498,Q6UXK2,train
O14503,Q9C0J9,train
O14508,Q9NSE2,train
O14511,O14511,val
O14512,O14512,train
O14513,O14513,train
O14514,O60241,train
O14519,O75956,val
O14520,A0A075B734,train
O14522,Q13332,val
O14523,O14523,val
O14524,O14524,val
O14525,O75129,val
O14526,O14526,train
O14529,P39880,train
O14530,O14530,train
O14531,O14531,train
O14543,Q9NSE2,train
O14544,O14512,train
O14545,O14545,train
O14548,O14548,train
O14556,O14556,val
O14558,P04792,test
O14559,A7KAX9,train
O14561,O14561,val
O14562,O14562,train
O14569,Q8N8Q1,train
O14576,O14576,train
O14578,O14578,test
O14579,O14579,train
O14581,O43869,train
O14593,Q9H9E1,train
O14594,P16112,train
O14595,Q05D32,train
O14598,Q9H321,train
O14599,O14599,train
O14602,O14602,train
O14603,O14603,train
O14604,P0CG34,train
O14607,O15550,test
O14610,P63211,train
O14613,Q00587,test
O14617,O14617,train
O14618,O14618,train
O14625,Q07325,train
O14626,O14626,train
O14627,P31260,test
O14628,O43345,val
O14633,Q5T751,train
O14638,P22413,train
O14639,O14639,train
O14640,O14641,val
O14641,O14641,val
O14645,O14645,val
O14646,Q9P2D1,test
O14647,Q9P2D1,test
O14649,P57789,test
O14653,O14653,train
O14654,O14654,train
O14656,Q9H497,train
O14657,Q9H497,train
O14662,O14662,test
O14668,Q9BZD7,test
O14669,Q9BZD7,test
O14672,O14672,val
O14678,O14678,train
O14681,O14681,train
O14682,Q96CT2,train
O14683,O14683,train
O14684,P10620,train
O14686,O14686,train
O14709,O43345,val
O14713,O14713,train
O14715,P49792,train
O14717,O14717,train
O14718,Q9UHM6,train
O14727,O14727,train
O14730,Q9BRS2,train
O14732,O14732,val
O14733,Q9NRP7,val
O14734,O14734,test
O14735,O14735,train
O14737,O14737,val
O14744,O14744,train
O14745,Q86UT5,train
O14746,O14746,train
O14753,P57071,train
O14756,P80365,train
O14757,P57059,train
O14763,O00220,train
O14764,Q9UN88,val
O14770,O14770,test
O14771,P17040,train
O14772,O14772,train
O14773,O14773,train
O14775,Q15542,train
O14776,O14776,train
O14777,O14777,val
O14782,Q02224,train
O14786,O60462,val
O14787,Q92973,train
O14788,O14788,train
O14791,Q9BWW9,train
O14792,P52849,val
O14793,O95390,train
O14795,Q8NB66,train
O14796,O15357,val
O14798,O00220,train
O14802,P24928,train
O14804,P25100,train
O14807,Q8IYK8,train
O14810,O14810,train
O14813,Q96QS3,val
O14815,P20807,test
O14817,O95859,train
O14818,P25786,train
O14827,Q13972,val
O14828,O14828,train
O14829,O14830,test
O14830,O14830,test
O14832,O14832,val
O14836,O14836,val
O14841,O14841,train
O14842,O15552,test
O14843,P25116,train
O14862,Q16666,train
O14863,O14863,val
O14867,Q9BYV9,train
O14874,Q15118,train
O14879,O14879,train
O14880,O14880,train
O14893,O14893,train
O14896,Q13568,train
O14901,O14901,train
O14904,Q9GZT5,train
O14905,Q9GZT5,train
O14907,Q9UPQ7,val
O14908,O14908,train
O14910,Q9HD26,test
O14917,Q9NPG4,test
O14920,O14920,train
O14921,P49796,val
O14924,O14924,test
O14925,O14925,train
O14926,Q16658,val
O14929,O14929,val
O14931,O14931,test
O14933,Q9C0C9,train
O14936,O14936,val
O14939,Q13393,train
O14944,Q6UW88,train
O14948,P19532,train
O14949,O14949,train
O14950,Q9BUA6,val
O14958,O14958,train
O14960,O14960,train
O14964,O14964,train
O14965,Q13233,val
O14966,Q7Z6P3,train
O14967,O14967,train
O14972,O14972,val
O14974,O14974,train
O14975,Q9Y2P5,train
O14976,O14976,val
O14977,P11926,test
O14978,O43345,val
O14979,O14979,train
O14980,O14980,train
O14981,O14981,train
O14983,P16615,test
O14986,A2A3N6,val
O14990,P41236,val
O14994,P17600,train
O15013,O15013,test
O15014,Q9ULD9,test
O15015,O15015,test
O15016,O15016,train
O15018,O15018,val
O15020,Q9H254,train
O15021,O15021,test
O15027,O15027,train
O15031,O43157,train
O15033,O15033,test
O15034,O95153,train
O15037,Q9P2P1,train
O15040,O15040,val
O15041,Q9P283,test
O15042,O15042,val
O15047,Q9UPS6,train
O15049,O15049,train
O15050,O15050,train
O15054,O15054,train
O15055,O15534,val
O15056,O43426,val
O15060,O15060,train
O15061,O15061,train
O15062,O15062,train
O15063,O15063,train
O15066,Q7Z4S6,train
O15067,O15067,val
O15068,O15068,train
O15069,O15069,train
O15072,Q9P2N4,val
O15075,Q8N568,train
O15078,O15078,train
O15079,Q9NX95,train
O15083,Q8IUD2,train
O15084,Q9ULJ7,val
O15085,Q9NZN5,val
O15090,O15090,val
O15091,O15091,train
O15105,O43541,train
O15111,O14920,train
O15116,O15116,train
O15117,O15117,train
O15118,Q9UHC9,train
O15119,O15119,val
O15120,Q99943,train
O15121,O15121,train
O15123,Q9Y264,val
O15126,O14828,train
O15127,O14828,train
O15131,O15131,train
O15143,O15143,train
O15144,O15144,train
O15145,O15145,train
O15146,Q01974,val
O15151,Q00987,train
O15155,O15155,val
O15156,A1YPR0,test
O15160,P19387,train
O15162,Q9NRQ2,test
O15164,O15016,train
O15165,O15165,train
O15169,O15169,train
O15172,O15172,train
O15173,O15173,train
O15178,P57082,train
O15182,P14649,test
O15194,Q05D32,train
O15195,O15195,train
O15197,P29323,train
O15198,Q13485,train
O15204,Q9H013,train
O15205,O15205,val
O15209,O15209,val
O15211,Q12967,train
O15212,O15212,test
O15213,O15213,train
O15217,P09211,val
O15218,O15218,train
O15226,O15226,train
O15228,O15228,train
O15229,O15229,train
O15230,O15230,train
O15231,O15231,train
O15232,O00339,train
O15234,O15234,train
O15235,P62266,train
O15239,O15239,val
O15240,O15240,train
O15244,Q4U2R8,test
O15245,Q4U2R8,test
O15247,Q96NY7,test
O15254,O15254,train
O15255,O15255,train
O15258,O15258,val
O15259,O15259,train
O15260,O15260,train
O15263,P81534,train
O15264,Q9UPZ9,val
O15265,O15265,train
O15266,Q96QS3,val
O15269,O15270,train
O15270,O15270,train
O15273,O15273,val
O15287,O15287,train
O15294,O15294,val
O15296,Q9BYJ1,train
O15297,O15297,test
O15303,P41594,train
O15304,O15304,train
O15305,Q92871,val
O15315,O15315,test
O15318,O15318,train
O15321,Q99805,train
O15327,Q96PE3,train
O15335,Q6NUI6,train
O15344,Q9UJV3,val
O15347,P23497,train
O15350,Q9H3D4,train
O15353,O15353,train
O15354,O15354,train
O15355,O15355,test
O15357,O15357,val
O15360,O15360,train
O15370,Q06945,train
O15371,O15371,train
O15372,O15372,train
O15374,Q6ZSM3,train
O15375,Q6ZSM3,train
O15379,Q92769,train
O15381,O43933,train
O15382,O15382,train
O15389,Q96RL6,train
O15391,P25490,train
O15392,Q9NR09,train
O15393,Q9Y5Q5,train
O15394,P13591,val
O15397,O95373,train
O15399,Q13224,test
O15400,Q96NA8,train
O15403,O15403,train
O15405,O94842,test
O15409,O15409,train
O15417,O15417,train
O15427,Q6ZSM3,train
O15428,Q13526,train
O15431,O15431,train
O15432,O15431,train
O15438,Q09428,train
O15439,Q09428,train
O15440,Q09428,train
O15442,O15442,train
O15444,O15444,val
O15446,O15446,train
O15455,O15455,train
O15457,O15457,test
O15460,Q7Z4N8,train
O15466,Q9NSC7,train
O15479,Q12816,train
O15480,Q9UJ55,val
O15481,O60732,train
O15482,O15482,train
O15484,P20807,test
O15488,O15488,train
O15492,P49796,val
O15496,Q9BZM2,train
O15498,O15498,train
O15499,P56915,train
O15503,O15503,val
O15504,O15504,train
O15511,Q9BPX5,val
O15514,O15514,train
O15516,O15516,train
O15519,O15519,train
O15520,P12034,test
O15522,P43699,train
O15523,Q7L014,train
O15524,O15524,val
O15525,O75444,train
O15527,O15527,test
O15528,P08686,test
O15529,P25116,train
O15530,O15021,test
O15533,O15533,train
O15534,O15534,val
O15535,P57071,train
O15537,Q96PD2,train
O15539,O14924,test
O15540,A6NFH5,val
O15541,O15541,train
O15544,O15544,test
O15547,Q99572,train
O15550,O15550,test
O15551,P56856,train
O15552,O15552,test
O15553,O15553,test
O15554,Q9UGI6,train
O42043,P63135,train
O43143,Q92620,val
O43147,Q2NKQ1,train
O43148,O43148,train
O43149,O43149,val
O43150,Q9ULH1,test
O43151,Q8NFU7,train
O43155,Q9NZU1,train
O43156,O43156,train
O43157,O43157,train
O43159,O43159,val
O43164,O43164,train
O43166,O43166,train
O43167,Q13105,train
O43169,Q7L1T6,train
O43172,O43172,train
O43173,Q9NSC7,train
O43174,Q6V0L0,val
O43175,O43175,train
O43181,O43181,train
O43182,O43182,val
O43184,Q9H013,train
O43186,Q96QS3,val
O43187,O43187,train
O43189,Q9Y483,val
O43193,Q9HB89,test
O43194,O43194,train
O43196,O43196,train
O43236,Q9UHD8,train
O43237,Q9Y6G9,train
O43240,P08519,train
O43242,O43242,train
O43246,Q8TBB6,test
O43247,O43247,train
O43248,Q9NY43,train
O43251,Q9NWB1,val
O43252,O43252,val
O43255,O43255,train
O43257,O43257,train
O43261,O43261,val
O43264,O43264,train
O43272,O43272,test
O43278,O43278,test
O43280,O43280,val
O43281,O43281,val
O43283,O43283,train
O43286,P15291,train
O43290,O43290,val
O43291,P02760,train
O43292,O43292,train
O43293,P53355,train
O43294,P49023,train
O43295,O43295,test
O43296,O43345,val
O43298,O15209,val
O43299,O43299,val
O43300,Q86VH4,test
O43301,Q96MM6,train
O43303,O43303,test
O43304,Q92503,train
O43306,O60503,train
O43307,Q9NR80,train
O43309,O43345,val
O43310,O43310,test
O43312,O43312,train
O43313,O43313,val
O43314,Q6PFW1,val
O43315,A0A075B734,train
O43316,Q96QS3,val
O43318,O43318,test
O43320,P09038,test
O43323,Q15465,val
O43324,O43324,test
O43325,O43325,train
O43345,O43345,val
O43347,O14979,train
O43353,O43318,test
O43361,O43345,val
O43364,O43364,train
O43365,Q9NY43,train
O43374,O95294,train
O43379,O43379,test
O43390,O43390,test
O43395,O43395,train
O43396,O43396,train
O43399,P55327,train
O43402,O43402,train
O43405,P12111,test
O43414,A8K979,train
O43422,O43422,val
O43423,Q96FV0,train
O43424,Q9ULK0,train
O43426,O43426,val
O43427,O43427,train
O43432,Q04637,train
O43435,P57082,train
O43439,O75081,train
O43447,P30414,val
O43448,Q14722,train
O43451,O43451,val
O43462,O43462,train
O43463,Q9H9B1,val
O43464,Q92743,val
O43474,O43474,val
O43482,O43482,test
O43488,O43488,val
O43490,O43490,val
O43491,Q9Y2J2,val
O43493,O43493,train
O43497,O43497,train
O43502,O43502,train
O43504,O43504,train
O43505,O43505,train
O43506,Q9H013,train
O43508,O43508,train
O43511,O43511,test
O43513,O43513,test
O43516,O43516,train
O43520,O60312,train
O43521,O43521,train
O43524,O43524,train
O43525,Q9NR82,train
O43526,Q9NR82,train
O43529,Q7L1S5,train
O43541,O43541,train
O43542,O43542,test
O43543,O43543,train
O43548,P22735,train
O43555,O43555,train
O43556,O43556,val
O43557,P48023,train
O43559,Q8WU20,train
O43561,O43561,train
O43566,O14924,test
O43567,Q8WWF5,train
O43570,P23471,train
O43572,O43572,train
O43581,Q9Y2J0,train
O43583,O43583,train
O43586,O43586,train
O43592,O43592,train
O43593,O43593,train
O43597,O43609,train
O43598,O43598,val
O43602,Q8N568,train
O43603,Q9NSD7,train
O43609,O43609,train
O43610,O43609,train
O43612,O43612,train
O43613,Q9Y5X5,test
O43614,Q9Y5X5,test
O43615,O43615,train
O43623,P08047,train
O43633,O43633,train
O43638,P85037,train
O43639,O43639,test
O43653,Q6UXB3,train
O43657,P41732,train
O43660,O43660,val
O43663,O43663,train
O43665,O14924,test
O43670,O43670,train
O43674,O43674,train
O43676,O43676,test
O43677,O43677,val
O43678,O43678,train
O43679,Q86U70,train
O43680,P61296,val
O43681,O43681,train
O43683,O43683,train
O43684,P78406,test
O43687,Q9P0M2,train
O43688,Q7Z2D5,train
O43692,Q9H336,train
O43699,Q96RL6,train
O43704,O00204,train
O43707,Q9H254,train
O43708,O43708,train
O43709,O43709,train
O43711,Q15270,train
O43715,O43715,train
O43716,O43716,train
O43719,O43719,train
O43731,O43731,val
O43734,O43734,val
O43736,Q9NQX7,test
O43739,Q9Y6D6,train
O43741,O43741,test
O43745,O43745,train
O43747,O95782,val
O43749,O43869,train
O43752,O43752,train
O43759,O95473,val
O43760,O95473,val
O43761,O95473,val
O43763,Q15270,train
O43765,O43765,train
O43766,O43766,train
O43768,O43768,train
O43772,P53007,train
O43776,O43776,train
O43781,Q9H422,test
O43790,P12036,train
O43791,Q6IQ16,train
O43795,Q9UKN7,train
O43805,O43805,train
O43808,O43808,train
O43809,O43809,train
O43812,P0CJ85,train
O43813,Q9NS86,train
O43815,Q13033,train
O43818,O43818,test
O43819,O75880,train
O43820,P38567,train
O43822,Q6ZRR7,val
O43823,O43823,train
O43824,O43824,train
O43825,O43825,train
O43826,O43826,train
O43827,Q9Y264,val
O43829,O43829,train
O43837,P51553,train
O43847,O43847,train
O43852,Q15293,train
O43854,P00451,train
O43861,O43861,val
O43865,Q96HN2,train
O43866,Q9UGM3,test
O43868,Q9HAS3,train
O43869,O43869,train
O43889,O43889,train
O43895,O43895,val
O43896,Q9P2P6,train
O43897,Q9Y6L7,train
O43900,Q7Z3G6,train
O43903,Q8NHY3,train
O43908,Q07444,train
O43909,O43909,train
O43913,O43913,test
O43914,O43914,val
O43915,P49767,train
O43916,Q7LGC8,test
O43918,O43918,val
O43920,O43920,train
O43921,P52797,train
O43924,O43924,test
O43927,O43927,train
O43929,O43929,train
O43930,Q16513,train
O43933,O43933,train
O43934,O43934,test
O60216,O60216,train
O60218,P51857,test
O60220,O60220,train
O60224,Q9NQV7,val
O60225,Q9NQV7,val
O60229,O75962,test
O60231,Q14147,test
O60232,O60232,train
O60234,O60234,train
O60235,P98073,train
O60237,O14974,train
O60238,O60238,train
O60239,O60239,train
O60240,O60240,train
O60241,O60241,train
O60242,O60241,train
O60243,Q96MM7,train
O60244,O60244,test
O60245,O60245,train
O60248,Q06945,train
O60256,O60256,test
O60258,P55075,train
O60259,P08519,train
O60260,O60260,train
O60262,P50150,train
O60264,Q12873,val
O60266,O60503,train
O60268,O60268,train
O60269,O60269,train
O60271,Q9UPT6,train
O60279,O60279,val
O60281,O60281,train
O60282,Q12840,train
O60284,Q9UL68,test
O60285,Q15746,train
O60287,O60287,test
O60290,O60290,train
O60291,Q96PX1,train
O60292,O43166,train
O60293,O60293,train
O60294,O60294,train
O60296,Q9UPV9,train
O60299,O15049,train
O60303,O60303,test
O60304,O43345,val
O60306,O60306,train
O60307,O15021,test
O60308,O60308,train
O60309,A6NM11,test
O60312,O60312,train
O60313,O60313,test
O60315,O60315,train
O60318,O60318,val
O60320,P81408,train
O60330,Q9NPG4,test
O60331,A2A3N6,val
O60333,Q9NQT8,train
O60336,O43379,test
O60337,O60337,train
O60341,O60341,train
O60343,O60343,val
O60346,O60346,val
O60347,O60347,train
O60353,O60353,train
O60356,A6NF83,train
O60359,Q8WXS5,train
O60361,O00746,train
O60381,O60381,train
O60383,O60383,train
O60391,Q05586,val
O60393,O60393,val
O60403,O43869,train
O60404,O43869,train
O60412,O43869,train
O60422,O95948,test
O60423,O60312,train
O60427,A8MWK0,train
O60431,O43869,train
O60437,Q92817,train
O60443,O60443,train
O60447,Q9Y3P9,train
O60449,O60449,test
O60462,O60462,val
O60469,Q8TD84,test
O60476,Q9BZQ6,train
O60477,Q9C0B6,train
O60478,Q8N3F9,train
O60479,Q15270,train
O60481,Q96T25,train
O60486,O43157,train
O60487,O95297,train
O60488,O95573,val
O60493,Q5VWJ9,train
O60494,O60494,test
O60496,Q7L591,test
O60499,O43752,train
O60500,O60500,train
O60502,O60502,test
O60503,O60503,train
O60504,Q9BX66,train
O60506,O43390,test
O60507,O60704,val
O60508,O60508,train
O60512,P15291,train
O60513,P15291,train
O60516,Q13542,train
O60518,O60518,train
O60519,O60519,train
O60522,O60522,train
O60524,O60524,train
O60542,Q5T4W7,train
O60543,Q96AQ7,train
O60547,O60547,train
O60548,Q12948,train
O60551,O60551,train
O60563,O60583,train
O60565,O60565,train
O60566,O60566,train
O60568,O60568,train
O60573,Q8N5X7,train
O60583,O60583,train
O60602,O60602,train
O60603,Q9BXR5,test
O60609,P56159,train
O60610,O60610,train
O60613,O60613,train
O60635,O60635,train
O60636,O60635,train
O60637,O95859,train
O60641,O60641,train
O60645,O60645,train
O60656,Q16880,train
O60658,O95263,train
O60662,Q2TBA0,train
O60663,P48742,train
O60664,Q99541,train
O60667,O60667,train
O60669,Q6ZSM3,train
O60671,O60671,train
O60673,O60673,train
O60674,P29597,val
O60675,O75444,train
O60678,Q86X55,train
O60682,P61296,val
O60683,O60683,train
O60684,O15131,train
O60687,O60687,val
O60688,Q96NS1,val
O60701,O60701,train
O60704,O60704,val
O60706,Q09428,train
O60711,P49023,train
O60716,Q9UQB3,test
O60721,O60721,train
O60725,O60725,train
O60729,Q9UNH5,test
O60732,O60732,train
O60733,O60733,train
O60739,O60739,train
O60741,Q9Y3Q4,train
O60749,Q13596,val
O60755,Q9NSD7,train
O60756,O60756,val
O60759,Q7Z6J2,train
O60760,O60760,train
O60762,O60762,train
O60763,O60763,train
O60765,O43345,val
O60774,P31512,test
O60779,P41440,val
O60783,O60783,train
O60784,Q6ZVM7,test
O60806,P57082,train
O60809,P78395,val
O60810,P78395,val
O60811,P78395,val
O60812,P07910,train
O60813,P78395,val
O60814,Q6DN03,train
O60825,Q16875,train
O60826,O60826,train
O60828,O60828,train
O60829,Q96GU1,train
O60830,O60830,test
O60831,O75915,train
O60832,O60832,train
O60840,O00555,train
O60841,O60841,train
O60844,O60844,train
O60858,O60858,train
O60861,O60861,train
O60869,O60869,val
O60870,O60870,train
O60879,O60610,train
O60880,O15357,val
O60882,P51511,train
O60883,O15354,train
O60884,Q96EY1,train
O60885,O60885,train
O60888,O60888,train
O60890,A6NI28,train
O60894,O60895,train
O60895,O60895,train
O60902,Q96QS3,val
O60906,O60906,val
O60907,O60907,train
O60909,P15291,train
O60911,Q9UBX1,train
O60921,O60921,test
O60925,O60925,train
O60927,O60927,train
O60928,P48549,train
O60930,O60930,train
O60931,O60931,train
O60934,O60934,train
O60936,Q9BX69,val
O60938,Q9NZU1,train
O60939,Q8IWT1,test
O60941,Q9Y4J8,train
O60942,O60942,test
O71037,P63135,train
O75015,Q96RD9,train
O75019,Q8N6C5,train
O75022,Q8N6C5,train
O75023,Q8N6C5,train
O75027,Q9NP58,train
O75030,P19532,train
O75031,O75031,train
O75037,Q7Z4S6,train
O75038,Q4KWH8,train
O75044,O43295,test
O75051,O43157,train
O75052,O75052,train
O75054,O75054,train
O75056,O75056,train
O75061,O14976,val
O75063,Q8IXL6,train
O75064,Q5VZ89,train
O75069,O75069,train
O75071,O75071,train
O75072,O75072,test
O75074,Q9Y561,train
O75077,Q9H013,train
O75078,Q9H013,train
O75081,O75081,train
O75083,O75083,train
O75084,O60353,train
O75093,O75093,train
O75094,O75093,train
O75095,O75095,train
O75096,P98164,train
O75106,Q16853,train
